Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: *checkIsHttpToken _http_common.js:282:26
      3    0.0%    0.0%  LazyCompile: *check C:\node\cryptodev\node_modules\ethers-providers\provider.js:40:15
      3    0.0%    0.0%  LazyCompile: *bigNumberify C:\node\cryptodev\node_modules\ethers-utils\bignumber.js:140:22
      3    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:258:52
      3    0.0%    0.0%  LazyCompile: *_storeHeader _http_outgoing.js:290:22
      3    0.0%    0.0%  LazyCompile: *_flushOutput _http_outgoing.js:834:63
      3    0.0%    0.0%  LazyCompile: *TLSSocket._releaseControl _tls_wrap.js:606:47
      3    0.0%    0.0%  LazyCompile: *SchemaType._isRef C:\node\cryptodev\node_modules\mongoose\lib\schematype.js:965:29
      3    0.0%    0.0%  LazyCompile: *Response C:\node\cryptodev\node_modules\mongodb-core\lib\connection\commands.js:398:24
      3    0.0%    0.0%  LazyCompile: *Query._optionsForExec C:\node\cryptodev\node_modules\mongoose\lib\query.js:1145:43
      3    0.0%    0.0%  LazyCompile: *Query._findOne C:\node\cryptodev\node_modules\mongoose\lib\query.js:1484:36
      3    0.0%    0.0%  LazyCompile: *Module._load module.js:440:24
      3    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1230:49
      3    0.0%    0.0%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\ethers-providers\json-rpc-provider.js:100:65
      3    0.0%    0.0%  Function: ~writeOrBuffer _stream_writable.js:339:23
      3    0.0%    0.0%  Function: ~uuidV4 C:\node\cryptodev\node_modules\mongodb-core\lib\utils.js:5:16
      3    0.0%    0.0%  Function: ~urlParse url.js:93:18
      3    0.0%    0.0%  Function: ~socketCloseListener _http_client.js:337:29
      3    0.0%    0.0%  Function: ~reuse timers.js:356:15
      3    0.0%    0.0%  Function: ~onlookup dns.js:90:18
      3    0.0%    0.0%  Function: ~onSocketNT _http_client.js:661:20
      3    0.0%    0.0%  Function: ~lookupAndConnect net.js:1034:26
      3    0.0%    0.0%  Function: ~listOnTimeout timers.js:211:23
      3    0.0%    0.0%  Function: ~join native array.js:288:46
      3    0.0%    0.0%  Function: ~isub C:\node\cryptodev\node_modules\bn.js\lib\bn.js:922:37
      3    0.0%    0.0%  Function: ~fs.readFileSync fs.js:548:27
      3    0.0%    0.0%  Function: ~format url.js:566:39
      3    0.0%    0.0%  Function: ~extname path.js:921:28
